滨州滨城时代社区营业厅	海通时代花园沿街	18906496638 	陶震	3716021001880 	118.018601449580 	37.386676233476 
滨州滨城北郝营业厅	黄河十六路渤海四路路东	18054303067 	郝建忠	3716021000614 	117.615583283280 	37.753429747831 
滨州市滨城区市西营业厅	黄河四路渤海十二路滨海花园	15376282768 	杨泉海	3716021001538 	117.615583283280 	37.753429747831 
滨州滨城区佳兴社区营业厅	黄河四路渤海六路往南150路东	18906496258 	侯海群	3716021001961 	118.029689331510 	37.387010072819 
滨州滨城区兴达专业通讯器材总汇	黄河五路504号	18906496285 	从延培	3716021000387 	118.018601449580 	37.386676233476 
滨州滨北讯腾手机大卖场	滨北凤凰一路梧桐六路	18905438543 	王志勇	3716011000163 	117.995150802460 	37.472861141047 
滨州滨城区利鑫通讯器材中心	黄河五路渤海七路新华书店旁边	18906496286 	王永伟	3716021000425 	118.018601449580 	37.386676233476 
滨州滨北电信中心营业厅	滨北镇梧桐四路凤凰一路交叉口	18906495959 	张君莲	3716001000110 	117.995150802460 	37.472861141047 
博兴华诚通讯商行	胜利三路12号	18905436201 	王卫华	3716251001142 	117.615583283280 	37.753429747831 
滨博城区润泽通讯合作厅	胜利三路工行对面	18054310005 	梁平平	3716251001213 	117.615583283280 	37.753429747831 
滨博曹王天恩合作营业厅	曹王镇纬中路路口东150米路北	15318216428 	韩桂芳	3716251000037 	117.615583283280 	37.753429747831 
滨惠鑫天翼合作营业厅	文安西路移动公司对过	13356282279 	陈新欣	3716211000894 	117.510131842650 	37.480580956639 
滨州惠民环城东路营业厅	环城东路72号	18906496398 	王均凤	3716211000328 	118.018601449580 	37.386676233476 
滨惠城南武定府路合作厅	武定府路怡水龙城对过纱厂东200米	18054358123 	闫雪	3716211001071 	117.615583283280 	37.753429747831 
滨州惠民魏集镇支局专营店	魏集镇府前路	18905439813 	王辉	3716211000622 	117.995150802460 	37.472861141047 
滨州无棣车镇乡支局自营厅	车王镇文化路新生活超市对过	18906496856 	郭金杰	3716231000790 	118.018601449580 	37.386676233476 
滨棣常家合作营业厅	柳堡镇常家沿街	18954373266 	刘泽同	3716231000743 	118.018601449580 	37.386676233476 
滨州无棣碣石山镇支局自营厅	碣石山镇十字路口南侧	18954313229 	杨晶	3716231000491 	118.018601449580 	37.386676233476 
滨棣宏亿佳合作厅	棣新一路大福源楼下	13395434313 	张婷婷	3716231001059 	117.615583283280 	37.753429747831 
滨州阳信幸福三路营业厅	幸福三路334号	18906496923 	刘芬	3716221000161 	118.018601449580 	37.386676233476 
滨州沾化富国路营业厅	中心路413号	18105433252 	李明燕	3716241000587 	117.615583283280 	37.753429747831 
滨沾冯家第二合作营业厅	冯家商业街西首富豪家具城东临	15376498885 	王永	3716241000182 	117.615583283280 	37.753429747831 
邹平长山天翼通讯经营部	长山镇圣豪超市对过	18905434878 	石文静	3716261000867 	117.615583283280 	37.753429747831 
滨邹开发区启梦合作厅	邹平建宇商城	18954331755 	许晓瑄	3716261001284 	118.018601449580 	37.386676233476 
邹平青林手机店	黄山东路电信公司一楼	18906496022 	纪梅娇	3716261001139 	117.995150802460 	37.472861141047 
滨邹青阳刘丽军合作营业厅	青阳镇钟陈路口	18954315767 	刘丽军	3716261000672 	118.018601449580 	37.386676233476 
